content,score
Aplikasi msh bnyk bug. Percuma di sosialisasikan di tiap rt. Yg katanya apk jss bisa mempermudah untuk memperoleh layanan. Tp nyatanya sy udah bikin akun dan mau daftar antrian puskesmas malah di suruh login kembali setelah masuk ehh tidak ada kolom yg buat antrian puskesmas. Maunya mo kontrol tensi malah di bikin naik tensi karena apk jss yg membingungkan!,1
Siap,5
Keren...,5
setidaknya jngn prank lah...,1
Buat daftar pas pegang ktp sama selfie.loding smpe seharian gabisa di prosesssss,1
Awal doang bagus.. Sekarang gk guna banyak bermasalah..,1
"Jooozzzzz....,👍👍👍👍",5
Mantap,5
Bagus,5
Lelet aplikasi nya,1
Ok,5
"Ada nya aplikasi jss begitu sangat membantu warga Jogja, seperti pengurusan KTP, KK, akta lahir dll, demi kenyamanan warga Jogja mohon terus dikembang kan",5
MUH NURiZZA,2
"Buka Aplikasi JSS Saat masuk ke Layanan, tidak bisa memakai data seluler, kenapa harus pakai wifi?",2
Untuk membuat akun awal selalu gagal di foto KTP apalagi mau mempergunakan aplikasi JJS 🤦,1
"Aplikasi pemerintah, tapi pelayanan dari Kominfo kurang fast, mohon maaf, saya mau mendaftar dan verifikasi nya sangat lama dari tim Kominfo nya, mohon bisa di perbaiki lagi kinerja nya karena merupakan pelayanan masyarakat🙏🏻",1
Aplikasi yang sangat bermanfaat bagi masyarakat kota yogyskarta,5
"Untuk log in selalu ber masalah, dari segi login bagus beda dgn wifi2 lain tapi yang ini kurang akurat log in keseringan gagal, pake data untuk log in juga sama 😖 mohon tinjau ulang kak akses tersebut",1
Sangat baikk,5
"Pendaftaran perlu foto KTP dan foto KTP dengan diri sendiri. Aplikasi nasional sejenis peduli lindungi aja ga perlu swafoto diri dengan KTP. Saya ragu pemerintah bisa jaga data. Lagi pula untuk apa swafoto dengan KTP. Salah salah mengamankan data, jika dicuri bisa dijadikan pinjol dan kejahatan lainnya. Sangat tidak ramah dengan privasi",1
"Tolong untuk WiFi daerah RT 27 RW 06 sangat jelek, bahkan tidak bisa di pakai",2
"Tolong akses CCTV diperbaiki, skrg tbtb ndak bisa dipakai🙏",2
Maju terus Jogjakita,4
Sangat bermanfaat,5
Suka banget kayak jogjaku istimewa,5
Sangat membantu,5
Sangat memberikan pencerahan dan semangat dalam berusaha. Terimakasih sibakul,5
"Pelayananya ramah, cepat, tempatnya nyaman bgt...anak2 friendly... Bisa ngprint dokumen sndri.. Ada layanan wifi gratis.. Mantep..👍",5
"Jelek dan sering troble jss, terlihat pemerintah kota sendiri seperti tidak siap dan terkesan di paksakan, dari infrastruktur pendukung, kualitas sdm untuk pengembangan dan perawatan tidak mumpuni di bidangnya. Saran kedepan pemerintah harusnya berfokus pada skil, pengalaman ataupun keterampilan dalam perekrutan SDM, jangan cumua ijasah dan test tertulis doank, karna teori sama praktek beda jauh, kedepan pemkot harus berkaca dari luar negri mereka tidak berfokus pada ijasah tapi skil.",1
"Habis update tidak bisa diakses, Mohon diperbaiki, Web juga tidak bisa diakses",1
"Sangat membantu, tetap semangat jogja",3
"belum maksimal ,masih banyak kekurangan",4
"tolong diperbaiki lagi, nyambung wifi buat buka situs situs lainya ga bisa trus,main youtube aja dipersulit",1
👍sangat membantu,5
susah bikin akun buat login,3
Optimal,5
Penting dan bermanfaat,5
Bagus,5
Saya salut buat pelayanan pemerintah kota Yogyakarta semakin baik,5
Bagus,5
Tidak bisa login,1
klk mau liat cctv Jogja di gogle jg ada loh,5
Aplikasi ini sangat membantu masyarakat kota Yogyakarta,5
Cctv error,1
Bagus lengkap,5
Respon chat livenya terlalu lama kurang fast respon,3
"Mau daftar,ngisi data diri, pas foto ktp kok cuma putih semua.. gimana ambil fotonya?",2
"Sangat bagus dan sangat membantu dalam pengurusan dokumen² penting. Selama ini tudak ada kendala, lancar² aja.",5
Sangat membantu,5
Satu akun untuk semua kebutuhan,5
",aplikasi cuma buat penipuan biar cepat habis kuwota anda, Jngn Download aplikasi ini brooo",1
Kok sekarang ngak bisa buat login wifi si kot pemkot pekok,1
Jogjakarta Joss dalam genggaman,5
CCTV ga bisa dibuka. Padahal paketan lancar jaya. Ini sih murni dari Aplikasinya,1
Lama proses aktivasinya sudah lebih dari 1 jam gk selesai² apa jangan² petugasnya lgi bobok atau apa?,1
"Katanya Smart sevice, tapi bagian CCTV ga bisa di akses. 🙄🙄",2
"Cctv tidak bisa di play min, error cctv nya. Jadi tidak bisa memantau sikon jalan seperti apa",3
offline semua.. 🥱,1
Kenapasi kok semua cctv nya gabisa diakses. Jelek bgt kualitasnya.tolong dong pemerintah Jogja dibenerin lagi app ini buat memudahkan rakyat,1
Mohon untuk akses cctv dapat dibuka untuk agar pengguna dapat maksimal dalam menerima manfaat aplikasi ini,3
"CCTV TIDAK BISA MUNCUL SEMUAAA,RASIDO SMART",1
Gak bisa play CCTV min..udah coba ganti 5-6 titik CCTV sama semua error 'video can't be played'. Tolong segera diperbaiki min..thanks,3
Perlu perbaikan,5
WiFi kok tidak ada akses internet terus,3
"APLIKASI APA-APAAN INI BUAT CHEK PBB AJA GA BISA, MENDING GA USAH ADA APLIKASI",1
"Dari beberapa hari yang lalu mendaftar di akun JSS tapi tidak bisa masuk. Padahal dari kelurahan diarahkan untuk memakai JSS. Keterangan selalu: Nama Tidak Cocok dengan data kependudukan. Terus harus bagaimana? Kalau seperti ini namanya bukan SMART service, menyusahkan. Terus petugasnya ngapain? Mending cara jadul, sehari jadi",1
Alah ribet,1
Cctv'nya sekarang susah dibuka,5
Ah aplikasi marai emosi Lemot servernya upload gak selesai² Niat baik tp server gak baik,2
Apik tenan,5
Lambat parah,1
Cctv gak bisa terbuka....barusaja pembaharuan,3
"Bagi yang tidak bisa login maupun susah daftar atau masalah lainnya, langsung aja hubungi JSS di help desk",1
apl bsk,1
"aplikasi apaan ini,mau ganti nomor hp gak bisa.aneh",1
Sepertinya hnya bisa diakses untuk keperluan jam kantor,2
